County,Agency,Sworn,Reserve,Dispatcher,Total,Year,Snapshot,SourceFile,Full-Time Sworn
CONTRA COSTA COUNTY,RICHMOND PD,186.0,2,25,213,2013,Jan,01-2013_clean.csv,
CONTRA COSTA COUNTY,SAN PABLO PD,51.0,0,0,51,2013,Jan,01-2013_clean.csv,
CONTRA COSTA COUNTY,SAN RAMON PD,56.0,0,0,56,2013,Jan,01-2013_clean.csv,
CONTRA COSTA COUNTY,WALNUT CREEK PD,73.0,31,16,120,2013,Jan,01-2013_clean.csv,
DEL NORTE COUNTY,CRESCENT CITY PD,12.0,5,0,17,2013,Jan,01-2013_clean.csv,
DEL NORTE COUNTY,DEL NORTE COUNTY DA,2.0,0,0,2,2013,Jan,01-2013_clean.csv,
DEL NORTE COUNTY,DEL NORTE COUNTY SD,27.0,11,4,42,2013,Jan,01-2013_clean.csv,
EL DORADO COUNTY,EL DORADO COUNTY DA,11.0,0,0,11,2013,Jan,01-2013_clean.csv,
EL DORADO COUNTY,EL DORADO COUNTY SD,164.0,10,31,205,2013,Jan,01-2013_clean.csv,
EL DORADO COUNTY,PLACERVILLE PD,17.0,2,6,25,2013,Jan,01-2013_clean.csv,
EL DORADO COUNTY,SOUTH LAKE TAHOE PD,37.0,10,8,55,2013,Jan,01-2013_clean.csv,
FRESNO COUNTY,CLOVIS PD,92.0,18,20,130,2013,Jan,01-2013_clean.csv,
FRESNO COUNTY,CLOVIS UNIF SCHL DIST PD,10.0,0,0,10,2013,Jan,01-2013_clean.csv,
FRESNO COUNTY,COALINGA PD,20.0,6,6,32,2013,Jan,01-2013_clean.csv,
FRESNO COUNTY,CSU FRESNO DPS,20.0,0,6,26,2013,Jan,01-2013_clean.csv,
FRESNO COUNTY,FIREBAUGH PD,11.0,7,0,18,2013,Jan,01-2013_clean.csv,
FRESNO COUNTY,FOWLER PD,12.0,3,0,15,2013,Jan,01-2013_clean.csv,
FRESNO COUNTY,FRESNO COUNTY DA,40.0,0,0,40,2013,Jan,01-2013_clean.csv,
FRESNO COUNTY,FRESNO COUNTY SD,386.0,37,41,464,2013,Jan,01-2013_clean.csv,
FRESNO COUNTY,FRESNO PD,728.0,56,86,870,2013,Jan,01-2013_clean.csv,
FRESNO COUNTY,FRESNO YOSEMITE INT'L AIRPORT,4.0,0,0,4,2013,Jan,01-2013_clean.csv,
FRESNO COUNTY,HURON PD,8.0,13,1,22,2013,Jan,01-2013_clean.csv,
FRESNO COUNTY,KERMAN PD,18.0,9,0,27,2013,Jan,01-2013_clean.csv,
FRESNO COUNTY,KINGSBURG PD,11.0,10,4,25,2013,Jan,01-2013_clean.csv,
FRESNO COUNTY,MENDOTA PD,11.0,5,0,16,2013,Jan,01-2013_clean.csv,
FRESNO COUNTY,ORANGE COVE PD,13.0,8,0,21,2013,Jan,01-2013_clean.csv,
FRESNO COUNTY,PARLIER PD,15.0,6,0,21,2013,Jan,01-2013_clean.csv,
FRESNO COUNTY,REEDLEY PD,27.0,2,5,34,2013,Jan,01-2013_clean.csv,
FRESNO COUNTY,SANGER PD,32.0,2,0,34,2013,Jan,01-2013_clean.csv,
FRESNO COUNTY,SELMA PD,31.0,0,6,37,2013,Jan,01-2013_clean.csv,
FRESNO COUNTY,STATE CENTER CCD PD,14.0,0,0,14,2013,Jan,01-2013_clean.csv,
GLENN COUNTY,GLENN COUNTY DA,2.0,0,0,2,2013,Jan,01-2013_clean.csv,
GLENN COUNTY,GLENN COUNTY SD/CORONER,26.0,4,7,37,2013,Jan,01-2013_clean.csv,
GLENN COUNTY,ORLAND PD,10.0,0,0,10,2013,Jan,01-2013_clean.csv,
