County,Agency,Sworn,Reserve,Dispatcher,Total
ALAMEDA COUNTY,ALAMEDA CO SD/CORONER,980,23,35,1038
ALAMEDA COUNTY,ALAMEDA PD,78,0,16,94
ALAMEDA COUNTY,ALBANY PD,24,2,6,32
ALAMEDA COUNTY,AMTRAK PD,34,0,0,34
ALAMEDA COUNTY,BAY AREA RAPID TRANSIT PD,190,0,17,207
ALAMEDA COUNTY,BERKELEY PD,152,15,31,198
ALAMEDA COUNTY,CSU EAST BAY PD,14,0,5,19
ALAMEDA COUNTY,EAST BAY REG PARK DPS,63,3,16,82
ALAMEDA COUNTY,EMERYVILLE PD,40,0,13,53
ALAMEDA COUNTY,FREMONT PD,177,8,29,214
ALAMEDA COUNTY,HAYWARD PD,177,25,31,233
ALAMEDA COUNTY,LIVERMORE PD,89,6,21,116
ALAMEDA COUNTY,NEWARK PD,56,3,12,71
ALAMEDA COUNTY,OAKLAND CITY HOUSING AUTH PD,26,3,0,29
ALAMEDA COUNTY,OAKLAND PD,750,7,64,821
ALAMEDA COUNTY,OAKLAND USD PD,12,0,0,12
ALAMEDA COUNTY,OHLONE CCD PD,2,0,0,2
ALAMEDA COUNTY,PIEDMONT PD,18,4,7,29
ALAMEDA COUNTY,PLEASANTON PD,75,1,17,93
ALAMEDA COUNTY,SAN LEANDRO PD,89,0,16,105
ALAMEDA COUNTY,UC BERKELEY PD,57,0,10,67
ALAMEDA COUNTY,UNION CITY PD,77,0,1,78
ALPINE COUNTY,ALPINE CO SD,13,1,1,15
AMADOR COUNTY,AMADOR CO DA,8,0,0,8
AMADOR COUNTY,AMADOR CO SD/CORONER,45,1,11,57
AMADOR COUNTY,IONE PD,7,3,0,10
AMADOR COUNTY,JACKSON PD,8,9,0,17
AMADOR COUNTY,SUTTER CREEK PD,4,2,0,6
BUTTE COUNTY,BUTTE CCD PD,5,0,0,5
BUTTE COUNTY,BUTTE CO DA,18,0,0,18
BUTTE COUNTY,BUTTE CO SD/CORONER,181,34,16,231
BUTTE COUNTY,CHICO PD,90,0,21,111
BUTTE COUNTY,CSU CHICO PD,15,0,6,21
BUTTE COUNTY,GRIDLEY PD,14,10,7,31
BUTTE COUNTY,OROVILLE PD,20,5,8,33
BUTTE COUNTY,PARADISE PD,22,0,8,30
CALAVERAS COUNTY,ANGELS CAMP PD,6,1,0,7
CALAVERAS COUNTY,CALAVERAS CO DA,1,0,0,1
CALAVERAS COUNTY,CALAVERAS CO SD,45,4,11,60
COLUSA COUNTY,COLUSA CO DISTRICT ATTORNEY,4,0,0,4
COLUSA COUNTY,COLUSA COUNTY SD,31,2,8,41
COLUSA COUNTY,COLUSA PD,8,1,0,9
COLUSA COUNTY,WILLIAMS PD,11,0,0,11
CONTRA COSTA COUNTY,ANTIOCH PD,98,3,16,117
CONTRA COSTA COUNTY,BRENTWOOD PD,62,0,0,62
CONTRA COSTA COUNTY,CLAYTON PD,11,1,0,12
CONTRA COSTA COUNTY,CONCORD PD,148,7,17,172
CONTRA COSTA COUNTY,CONTRA COSTA CCD PD,23,0,0,23
CONTRA COSTA COUNTY,CONTRA COSTA CO DA,29,0,0,29
CONTRA COSTA COUNTY,CONTRA COSTA CO SD/CORONER,640,30,49,719
CONTRA COSTA COUNTY,EL CERRITO PD,39,2,0,41
CONTRA COSTA COUNTY,HERCULES PD,22,5,0,27
CONTRA COSTA COUNTY,KENSINGTON PD,7,1,0,8
CONTRA COSTA COUNTY,MARTINEZ PD,31,3,8,42
CONTRA COSTA COUNTY,MORAGA PD,11,4,0,15
CONTRA COSTA COUNTY,OAKLEY PD,33,0,0,33
CONTRA COSTA COUNTY,PINOLE PD,25,0,12,37
CONTRA COSTA COUNTY,PITTSBURG PD,77,2,0,79
CONTRA COSTA COUNTY,PLEASANT HILL PD,41,2,7,50
CONTRA COSTA COUNTY,RICHMOND PD,164,2,21,187
CONTRA COSTA COUNTY,SAN PABLO PD,49,0,0,49
CONTRA COSTA COUNTY,SAN RAMON PD,66,0,0,66
CONTRA COSTA COUNTY,WALNUT CREEK PD,85,28,15,128
DEL NORTE COUNTY,CRESCENT CITY PD,12,2,0,14
DEL NORTE COUNTY,DEL NORTE CO DA,2,0,0,2
DEL NORTE COUNTY,DEL NORTE COUNTY SD,21,8,4,33
EL DORADO COUNTY,EL DORADO CO DA,15,0,0,15
EL DORADO COUNTY,EL DORADO CO SD,158,5,22,185
EL DORADO COUNTY,PLACERVILLE PD,19,3,4,26
EL DORADO COUNTY,SOUTH LAKE TAHOE PD,35,4,7,46
