County,Agency,Sworn,Reserve,Dispatcher,Total
ALAMEDA COUNTY,ALAMEDA CO SD/CORONER,962,7,32,1001
ALAMEDA COUNTY,ALAMEDA PD,69,0,16,85
ALAMEDA COUNTY,ALBANY PD,25,2,7,34
ALAMEDA COUNTY,BAY AREA RAPID TRANSIT PD,209,0,18,227
ALAMEDA COUNTY,BERKELEY PD,157,15,30,202
ALAMEDA COUNTY,CSU EAST BAY PD,12,0,2,14
ALAMEDA COUNTY,EAST BAY REG PARK DPS,59,0,15,74
ALAMEDA COUNTY,EMERYVILLE PD,37,0,11,48
ALAMEDA COUNTY,FREMONT PD,190,8,33,231
ALAMEDA COUNTY,HAYWARD PD,167,20,30,217
ALAMEDA COUNTY,LIVERMORE PD,83,4,20,107
ALAMEDA COUNTY,NEWARK PD,52,1,11,64
ALAMEDA COUNTY,OAKLAND CITY HOUSING AUTH PD,26,1,0,27
ALAMEDA COUNTY,OAKLAND PD,743,5,68,816
ALAMEDA COUNTY,OHLONE CCD PD,2,0,0,2
ALAMEDA COUNTY,PIEDMONT PD,19,4,7,30
ALAMEDA COUNTY,PLEASANTON PD,78,1,15,94
ALAMEDA COUNTY,SAN LEANDRO PD,80,0,15,95
ALAMEDA COUNTY,UC BERKELEY PD,45,0,7,52
ALAMEDA COUNTY,UNION CITY PD,68,0,1,69
ALPINE COUNTY,ALPINE CO SO,13,1,1,15
AMADOR COUNTY,AMADOR CO DA,8,0,0,8
AMADOR COUNTY,AMADOR CO SO/CORONER,43,8,12,63
AMADOR COUNTY,IONE PD,8,1,0,9
AMADOR COUNTY,JACKSON PD,9,7,0,16
AMADOR COUNTY,SUTTER CREEK PD,5,2,0,7
BUTTE COUNTY,BUTTE CCD PD,3,0,0,3
BUTTE COUNTY,BUTTE CO DA,17,0,0,17
BUTTE COUNTY,BUTTE CO SO/CORONER,180,22,17,219
BUTTE COUNTY,CHICO PD,95,1,22,118
BUTTE COUNTY,CSU CHICO PD,16,0,5,21
BUTTE COUNTY,GRIDLEY PD,10,7,9,26
BUTTE COUNTY,OROVILLE PD,22,3,8,33
BUTTE COUNTY,PARADISE PD,17,0,3,20
CALAVERAS COUNTY,ANGELS CAMP PD,7,0,0,7
CALAVERAS COUNTY,CALAVERAS CO DA,2,0,0,2
CALAVERAS COUNTY,CALAVERAS CO SD,65,3,9,77
COLUSA COUNTY,COLUSA CO DISTRICT ATTORNEY,3,0,0,3
COLUSA COUNTY,COLUSA COUNTY SD,28,0,6,34
COLUSA COUNTY,COLUSA PD,9,0,0,9
COLUSA COUNTY,WILLIAMS PD,11,0,0,11
CONTRA COSTA COUNTY,ANTIOCH PD,117,1,14,132
CONTRA COSTA COUNTY,BRENTWOOD PD,64,0,15,79
CONTRA COSTA COUNTY,CLAYTON PD,11,0,0,11
CONTRA COSTA COUNTY,CONCORD PD,130,8,17,155
CONTRA COSTA COUNTY,CONTRA COSTA CCD PD,21,0,0,21
CONTRA COSTA COUNTY,CONTRA COSTA CO DA,23,0,0,23
CONTRA COSTA COUNTY,CONTRA COSTA CO SO/CORONER,632,27,44,703
CONTRA COSTA COUNTY,EL CERRITO PD,34,1,0,35
CONTRA COSTA COUNTY,HERCULES PD,23,2,0,25
CONTRA COSTA COUNTY,KENSINGTON PD,8,1,0,9
CONTRA COSTA COUNTY,MARTINEZ PD,32,6,5,43
CONTRA COSTA COUNTY,MORAGA PD,11,1,0,12
CONTRA COSTA COUNTY,OAKLEY PD,33,0,0,33
CONTRA COSTA COUNTY,PINOLE PD,24,0,13,37
CONTRA COSTA COUNTY,PITTSBURG PD,80,2,0,82
CONTRA COSTA COUNTY,PLEASANT HILL PD,43,1,8,52
CONTRA COSTA COUNTY,RICHMOND PD,138,3,17,158
CONTRA COSTA COUNTY,SAN PABLO PD,56,0,0,56
CONTRA COSTA COUNTY,SAN RAMON PD,67,0,0,67
CONTRA COSTA COUNTY,WALNUT CREEK PD,76,26,16,118
DEL NORTE COUNTY,CRESCENT CITY PD,12,0,0,12
DEL NORTE COUNTY,DEL NORTE CO DA,2,0,0,2
DEL NORTE COUNTY,DEL NORTE COUNTY SO,26,9,5,40
EL DORADO COUNTY,EL DORADO CO DA,15,0,0,15
EL DORADO COUNTY,EL DORADO CO SO,167,4,17,188
EL DORADO COUNTY,PLACERVILLE PD,19,1,5,25
EL DORADO COUNTY,SOUTH LAKE TAHOE PD,38,4,8,50
FRESNO COUNTY,CLOVIS PD,99,10,22,131
