County,Agency,Sworn,Reserve,Dispatcher,Total
ALAMEDA COUNTY,ALAMEDA CO SD/CORONER,926,21,30,977
ALAMEDA COUNTY,ALAMEDA PD,81,0,15,96
ALAMEDA COUNTY,ALAMEDA/CONTRA COSTA TRANSIT,1,0,0,1
ALAMEDA COUNTY,ALBANY PD,22,3,6,31
ALAMEDA COUNTY,BAY AREA RAPID TRANSIT PD,181,0,19,200
ALAMEDA COUNTY,BERKELEY PD,168,20,29,217
ALAMEDA COUNTY,CSU EAST BAY PD,13,0,5,18
ALAMEDA COUNTY,EAST BAY REG PARK DPS,54,2,16,72
ALAMEDA COUNTY,EMERYVILLE PD,32,0,14,46
ALAMEDA COUNTY,FREMONT PD,180,10,31,221
ALAMEDA COUNTY,HAYWARD PD,174,27,29,230
ALAMEDA COUNTY,LIVERMORE PD,84,9,19,112
ALAMEDA COUNTY,MORAGA PD,11,4,0,15
ALAMEDA COUNTY,NEWARK PD,55,3,12,70
ALAMEDA COUNTY,OAKLAND CITY HOUSING AUTH PD,31,8,0,39
ALAMEDA COUNTY,OAKLAND PD,634,10,70,714
ALAMEDA COUNTY,OAKLAND USD PD,11,0,0,11
ALAMEDA COUNTY,OHLONE CCD PD,2,0,0,2
ALAMEDA COUNTY,PIEDMONT PD,23,5,8,36
ALAMEDA COUNTY,PLEASANTON PD,76,1,16,93
ALAMEDA COUNTY,SAN LEANDRO PD,89,0,14,103
ALAMEDA COUNTY,UC BERKELEY PD,66,0,8,74
ALAMEDA COUNTY,UNION CITY PD,72,1,10,83
ALPINE COUNTY,ALPINE CO SD,14,0,1,15
AMADOR COUNTY,AMADOR CO DA,7,0,0,7
AMADOR COUNTY,AMADOR CO SD/CORONER,46,3,12,61
AMADOR COUNTY,IONE PD,6,3,0,9
AMADOR COUNTY,JACKSON PD,7,9,0,16
AMADOR COUNTY,SUTTER CREEK PD,6,5,0,11
BUTTE COUNTY,BUTTE CCD PD,5,0,0,5
BUTTE COUNTY,BUTTE CO DA,21,0,0,21
BUTTE COUNTY,BUTTE CO SD/CORONER,99,32,15,146
BUTTE COUNTY,CHICO PD,85,2,21,108
BUTTE COUNTY,CSU CHICO PD,16,0,6,22
BUTTE COUNTY,GRIDLEY PD,16,6,6,28
BUTTE COUNTY,OROVILLE PD,23,4,12,39
BUTTE COUNTY,PARADISE PD,21,0,8,29
CALAVERAS COUNTY,ANGELS CAMP PD,7,1,0,8
CALAVERAS COUNTY,CALAVERAS CO DA,2,0,0,2
CALAVERAS COUNTY,CALAVERAS CO SD,52,4,12,68
COLUSA COUNTY,COLUSA CO DISTRICT ATTORNEY,2,0,0,2
COLUSA COUNTY,COLUSA COUNTY SD,35,1,10,46
COLUSA COUNTY,COLUSA PD,9,0,0,9
COLUSA COUNTY,WILLIAMS PD,9,2,0,11
CONTRA COSTA COUNTY,ANTIOCH PD,89,4,17,110
CONTRA COSTA COUNTY,BRENTWOOD PD,57,0,0,57
CONTRA COSTA COUNTY,CLAYTON PD,11,1,0,12
CONTRA COSTA COUNTY,CONCORD PD,145,12,17,174
