County,Agency,Sworn,Reserve,Dispatcher,Total
ALAMEDA COUNTY,ALAMEDA CO SD/CORONER,941,19,32,992
ALAMEDA COUNTY,ALAMEDA PD,78,0,17,95
ALAMEDA COUNTY,ALBANY PD,22,3,7,32
ALAMEDA COUNTY,AMTRAK PD,32,0,0,32
ALAMEDA COUNTY,BAY AREA RAPID TRANSIT PD,181,0,17,198
ALAMEDA COUNTY,BERKELEY PD,155,16,31,202
ALAMEDA COUNTY,CSU EAST BAY PD,14,0,4,18
ALAMEDA COUNTY,EAST BAY REG PARK DPS,62,3,15,80
ALAMEDA COUNTY,EMERYVILLE PD,40,0,11,51
ALAMEDA COUNTY,FREMONT PD,179,6,30,215
ALAMEDA COUNTY,HAYWARD PD,169,25,30,224
ALAMEDA COUNTY,LIVERMORE PD,87,5,20,112
ALAMEDA COUNTY,NEWARK PD,53,3,13,69
ALAMEDA COUNTY,OAKLAND CITY HOUSING AUTH PD,26,3,0,29
ALAMEDA COUNTY,OAKLAND PD,741,7,68,816
ALAMEDA COUNTY,OAKLAND USD PD,13,0,0,13
ALAMEDA COUNTY,OHLONE CCD PD,2,0,0,2
ALAMEDA COUNTY,PIEDMONT PD,17,6,7,30
ALAMEDA COUNTY,PLEASANTON PD,78,1,17,96
ALAMEDA COUNTY,SAN LEANDRO PD,85,0,15,100
ALAMEDA COUNTY,UC BERKELEY PD,48,0,10,58
ALAMEDA COUNTY,UNION CITY PD,73,0,1,74
ALPINE COUNTY,ALPINE CO SD,13,1,1,15
AMADOR COUNTY,AMADOR CO DA,8,0,0,8
AMADOR COUNTY,AMADOR CO SD/CORONER,43,2,12,57
AMADOR COUNTY,IONE PD,7,3,0,10
AMADOR COUNTY,JACKSON PD,7,7,0,14
AMADOR COUNTY,SUTTER CREEK PD,4,3,0,7
BUTTE COUNTY,BUTTE CCD PD,5,0,0,5
BUTTE COUNTY,BUTTE CO DA,19,0,0,19
BUTTE COUNTY,BUTTE CO SD/CORONER,181,31,17,229
BUTTE COUNTY,CHICO PD,93,0,22,115
BUTTE COUNTY,CSU CHICO PD,15,0,5,20
BUTTE COUNTY,GRIDLEY PD,13,6,8,27
BUTTE COUNTY,OROVILLE PD,19,5,7,31
BUTTE COUNTY,PARADISE PD,22,0,10,32
CALAVERAS COUNTY,ANGELS CAMP PD,4,0,0,4
CALAVERAS COUNTY,CALAVERAS CO DA,1,0,0,1
CALAVERAS COUNTY,CALAVERAS CO SD,48,4,10,62
COLUSA COUNTY,COLUSA CO DISTRICT ATTORNEY,4,0,0,4
COLUSA COUNTY,COLUSA COUNTY SD,31,1,7,39
COLUSA COUNTY,COLUSA PD,7,1,0,8
COLUSA COUNTY,WILLIAMS PD,9,0,0,9
CONTRA COSTA COUNTY,ANTIOCH PD,99,3,16,118
CONTRA COSTA COUNTY,BRENTWOOD PD,65,0,0,65
CONTRA COSTA COUNTY,CLAYTON PD,12,0,0,12
CONTRA COSTA COUNTY,CONCORD PD,143,7,16,166
CONTRA COSTA COUNTY,CONTRA COSTA CCD PD,22,0,0,22
CONTRA COSTA COUNTY,CONTRA COSTA CO DA,27,0,0,27
CONTRA COSTA COUNTY,CONTRA COSTA CO SD/CORONER,640,28,48,716
CONTRA COSTA COUNTY,EL CERRITO PD,39,2,0,41
CONTRA COSTA COUNTY,HERCULES PD,22,2,0,24
CONTRA COSTA COUNTY,KENSINGTON PD,7,1,0,8
CONTRA COSTA COUNTY,MARTINEZ PD,32,5,8,45
CONTRA COSTA COUNTY,MORAGA PD,11,4,0,15
CONTRA COSTA COUNTY,OAKLEY PD,33,0,0,33
CONTRA COSTA COUNTY,PINOLE PD,27,0,12,39
CONTRA COSTA COUNTY,PITTSBURG PD,82,1,0,83
CONTRA COSTA COUNTY,PLEASANT HILL PD,40,2,7,49
CONTRA COSTA COUNTY,RICHMOND PD,163,2,19,184
CONTRA COSTA COUNTY,SAN PABLO PD,52,0,0,52
CONTRA COSTA COUNTY,SAN RAMON PD,64,0,0,64
CONTRA COSTA COUNTY,WALNUT CREEK PD,83,28,15,126
DEL NORTE COUNTY,CRESCENT CITY PD,11,2,0,13
DEL NORTE COUNTY,DEL NORTE CO DA,1,0,0,1
DEL NORTE COUNTY,DEL NORTE COUNTY SD,24,6,5,35
EL DORADO COUNTY,EL DORADO CO DA,17,0,0,17
EL DORADO COUNTY,EL DORADO CO SD,146,4,22,172
EL DORADO COUNTY,PLACERVILLE PD,19,1,4,24
EL DORADO COUNTY,SOUTH LAKE TAHOE PD,35,4,7,46
FRESNO COUNTY,CLOVIS PD,100,11,24,135
FRESNO COUNTY,CLOVIS UNIF SCHL DIST PD,16,0,0,16
FRESNO COUNTY,COALINGA PD,15,1,6,22
FRESNO COUNTY,CSU FRESNO DPS,25,0,7,32
FRESNO COUNTY,FIREBAUGH PD,10,8,0,18
FRESNO COUNTY,FOWLER PD,11,3,0,14
FRESNO COUNTY,FRESNO CO DA,51,0,0,51
FRESNO COUNTY,FRESNO CO SD,423,60,41,524
FRESNO COUNTY,FRESNO PD,815,31,103,949
FRESNO COUNTY,FRESNO YOSEMITE INT'L AIRPORT,3,0,0,3
FRESNO COUNTY,HURON PD,10,3,6,19
FRESNO COUNTY,KERMAN PD,20,8,0,28
FRESNO COUNTY,KINGSBURG PD,16,8,0,24
FRESNO COUNTY,MENDOTA PD,14,8,0,22
FRESNO COUNTY,ORANGE COVE PD,10,3,0,13
FRESNO COUNTY,PARLIER PD,18,1,0,19
FRESNO COUNTY,REEDLEY PD,29,2,7,38
FRESNO COUNTY,SANGER PD,36,1,0,37
FRESNO COUNTY,SELMA PD,34,0,6,40
FRESNO COUNTY,STATE CENTER CCD PD,15,0,5,20
GLENN COUNTY,GLENN CO SD/CORONER,45,4,7,56
GLENN COUNTY,ORLAND PD,11,0,0,11
HUMBOLDT COUNTY,ARCATA PD,26,4,7,37
HUMBOLDT COUNTY,CSU HUMBOLDT DPS,12,0,7,19
HUMBOLDT COUNTY,EUREKA PD,47,2,11,60
HUMBOLDT COUNTY,FERNDALE PD,6,1,0,7
HUMBOLDT COUNTY,FORTUNA PD,18,1,7,26
HUMBOLDT COUNTY,HUMBOLDT CO DA,9,0,0,9
HUMBOLDT COUNTY,HUMBOLDT CO SD,186,11,10,207
HUMBOLDT COUNTY,HUMBOLDT DEPT WELFARE/INVEST,9,0,0,9
HUMBOLDT COUNTY,RIO DELL PD,4,0,0,4
IMPERIAL COUNTY,BRAWLEY PD,29,4,8,41
IMPERIAL COUNTY,CALEXICO PD,20,3,6,29
IMPERIAL COUNTY,CALIPATRIA PD,6,4,0,10
IMPERIAL COUNTY,EL CENTRO PD,45,0,11,56
IMPERIAL COUNTY,IMPERIAL CO DA,17,0,0,17
IMPERIAL COUNTY,IMPERIAL CO SD,96,8,11,115
IMPERIAL COUNTY,IMPERIAL PD,16,2,0,18
IMPERIAL COUNTY,WESTMORLAND PD,6,4,0,10
INYO COUNTY,BISHOP PD,12,5,7,24
INYO COUNTY,INYO CO DA,2,0,0,2
INYO COUNTY,INYO COUNTY SD,35,19,6,60
KERN COUNTY,ARVIN PD,15,3,4,22
KERN COUNTY,BAKERSFIELD PD,396,8,36,440
KERN COUNTY,BEAR VALLEY PD,4,0,0,4
KERN COUNTY,CALIFORNIA CITY PD,9,8,3,20
KERN COUNTY,CSU BAKERSFIELD DPS,12,0,7,19
KERN COUNTY,DELANO PD,50,2,7,59
KERN COUNTY,KERN CO DA,26,0,0,26
KERN COUNTY,KERN CO-DEPT OF PARKS & REC,3,1,0,4
KERN COUNTY,KERN COUNTY SD,828,56,38,922
KERN COUNTY,KERN HIGH SCHOOL DISTRICT PD,27,0,0,27
KERN COUNTY,MCFARLAND PD,12,2,5,19
KERN COUNTY,RIDGECREST PD,30,10,5,45
KERN COUNTY,SHAFTER PD,27,0,7,34
KERN COUNTY,STALLION SPRINGS PD,3,0,0,3
KERN COUNTY,TAFT PD,15,2,5,22
KERN COUNTY,TEHACHAPI PD,17,1,7,25
KINGS COUNTY,AVENAL PD,17,1,0,18
KINGS COUNTY,CORCORAN PD,15,5,6,26
KINGS COUNTY,HANFORD PD,57,0,16,73
KINGS COUNTY,KINGS CO DA,14,0,0,14
KINGS COUNTY,KINGS CO SHERIFF'S OFFICE,196,7,16,219
KINGS COUNTY,"KINGS CO-HUMAN SVCS,WELFARE FD",5,0,0,5
KINGS COUNTY,LEMOORE PD,32,7,0,39
LAKE COUNTY,CLEARLAKE PD,22,2,7,31
LAKE COUNTY,LAKE CO DA,6,0,1,7
LAKE COUNTY,LAKE CO SD,49,1,8,58
LAKE COUNTY,LAKEPORT PD,12,1,0,13
LASSEN COUNTY,LASSEN CO SD,54,5,9,68
LASSEN COUNTY,SUSANVILLE PD,14,0,0,14
