County,Agency,Sworn,Reserve,Dispatcher,Total
ALAMEDA COUNTY,ALAMEDA CO SD/CORONER,1031,6,34,1071
ALAMEDA COUNTY,ALAMEDA PD,74,0,18,92
ALAMEDA COUNTY,ALBANY PD,23,2,8,33
ALAMEDA COUNTY,BAY AREA RAPID TRANSIT PD,205,0,19,224
ALAMEDA COUNTY,BERKELEY PD,150,14,31,195
ALAMEDA COUNTY,CSU EAST BAY PD,13,0,0,13
ALAMEDA COUNTY,EAST BAY REG PARK DPS,55,0,17,72
ALAMEDA COUNTY,EMERYVILLE PD,34,0,10,44
ALAMEDA COUNTY,FREMONT PD,171,7,27,205
ALAMEDA COUNTY,HAYWARD PD,161,21,31,213
ALAMEDA COUNTY,LIVERMORE PD,92,4,20,116
ALAMEDA COUNTY,NEWARK PD,49,1,11,61
ALAMEDA COUNTY,OAKLAND CITY HOUSING AUTH PD,27,3,0,30
ALAMEDA COUNTY,OAKLAND PD,636,5,73,714
ALAMEDA COUNTY,OHLONE CCD PD,2,0,1,3
ALAMEDA COUNTY,PIEDMONT PD,18,3,6,27
ALAMEDA COUNTY,PLEASANTON PD,79,1,16,96
ALAMEDA COUNTY,SAN LEANDRO PD,66,0,13,79
ALAMEDA COUNTY,UC BERKELEY PD,48,0,8,56
ALAMEDA COUNTY,UNION CITY PD,68,0,1,69
ALPINE COUNTY,ALPINE CO SO,12,3,0,15
AMADOR COUNTY,AMADOR CO DA,8,0,0,8
AMADOR COUNTY,AMADOR CO SO/CORONER,46,9,8,63
AMADOR COUNTY,IONE PD,6,1,0,7
AMADOR COUNTY,JACKSON PD,8,5,0,13
AMADOR COUNTY,SUTTER CREEK PD,5,2,0,7
BUTTE COUNTY,BUTTE CCD PD,4,0,0,4
BUTTE COUNTY,BUTTE CO DA,17,0,0,17
BUTTE COUNTY,BUTTE CO SO/CORONER,179,21,15,215
BUTTE COUNTY,CHICO PD,94,0,23,117
BUTTE COUNTY,CSU CHICO PD,12,0,5,17
BUTTE COUNTY,GRIDLEY PD,11,6,9,26
BUTTE COUNTY,OROVILLE PD,18,4,7,29
BUTTE COUNTY,PARADISE PD,17,0,3,20
CALAVERAS COUNTY,ANGELS CAMP PD,6,1,0,7
CALAVERAS COUNTY,CALAVERAS CO DA,1,0,0,1
CALAVERAS COUNTY,CALAVERAS CO SD,56,3,9,68
COLUSA COUNTY,COLUSA CO DISTRICT ATTORNEY,3,0,0,3
COLUSA COUNTY,COLUSA COUNTY SD,30,0,7,37
COLUSA COUNTY,COLUSA PD,7,0,0,7
COLUSA COUNTY,WILLIAMS PD,12,0,0,12
CONTRA COSTA COUNTY,ANTIOCH PD,112,1,16,129
CONTRA COSTA COUNTY,BRENTWOOD PD,65,0,14,79
CONTRA COSTA COUNTY,CLAYTON PD,11,0,0,11
CONTRA COSTA COUNTY,CONCORD PD,127,4,16,147
CONTRA COSTA COUNTY,CONTRA COSTA CCD PD,21,0,0,21
CONTRA COSTA COUNTY,CONTRA COSTA CO DA,27,0,0,27
CONTRA COSTA COUNTY,CONTRA COSTA CO SO/CORONER,618,28,37,683
CONTRA COSTA COUNTY,EL CERRITO PD,27,0,0,27
CONTRA COSTA COUNTY,HERCULES PD,25,1,0,26
CONTRA COSTA COUNTY,KENSINGTON PD,6,0,0,6
CONTRA COSTA COUNTY,MARTINEZ PD,28,4,5,37
CONTRA COSTA COUNTY,MORAGA PD,12,1,0,13
CONTRA COSTA COUNTY,OAKLEY PD,34,0,0,34
CONTRA COSTA COUNTY,PINOLE PD,22,0,12,34
CONTRA COSTA COUNTY,PITTSBURG PD,89,2,0,91
CONTRA COSTA COUNTY,PLEASANT HILL PD,40,0,12,52
CONTRA COSTA COUNTY,RICHMOND PD,116,3,21,140
CONTRA COSTA COUNTY,SAN PABLO PD,55,0,0,55
CONTRA COSTA COUNTY,SAN RAMON PD,67,0,0,67
CONTRA COSTA COUNTY,WALNUT CREEK PD,76,26,20,122
DEL NORTE COUNTY,CRESCENT CITY PD,11,0,0,11
DEL NORTE COUNTY,DEL NORTE CO DA,2,0,0,2
DEL NORTE COUNTY,DEL NORTE COUNTY SO,18,7,2,27
EL DORADO COUNTY,EL DORADO CO DA,15,0,0,15
