County,Agency,Sworn,Reserve,Dispatcher,Total
ALAMEDA COUNTY,ALAMEDA CO SD/CORONER,955,21,30,1006
ALAMEDA COUNTY,ALAMEDA PD,84,0,16,100
ALAMEDA COUNTY,ALAMEDA/CONTRA COSTA TRANSIT,1,0,0,1
ALAMEDA COUNTY,ALBANY PD,23,2,6,31
ALAMEDA COUNTY,BAY AREA RAPID TRANSIT PD,190,0,17,207
ALAMEDA COUNTY,BERKELEY PD,166,20,34,220
ALAMEDA COUNTY,CSU EAST BAY PD,14,0,5,19
ALAMEDA COUNTY,EAST BAY REG PARK DPS,56,1,16,73
ALAMEDA COUNTY,EMERYVILLE PD,35,0,16,51
ALAMEDA COUNTY,FREMONT PD,194,9,26,229
ALAMEDA COUNTY,HAYWARD PD,179,23,25,227
ALAMEDA COUNTY,LIVERMORE PD,88,6,21,115
ALAMEDA COUNTY,MORAGA PD,11,4,0,15
ALAMEDA COUNTY,NEWARK PD,56,4,13,73
ALAMEDA COUNTY,OAKLAND CITY HOUSING AUTH PD,31,3,0,34
ALAMEDA COUNTY,OAKLAND PD,730,11,63,804
ALAMEDA COUNTY,OAKLAND USD PD,13,0,0,13
ALAMEDA COUNTY,OHLONE CCD PD,2,0,0,2
ALAMEDA COUNTY,PIEDMONT PD,18,6,8,32
ALAMEDA COUNTY,PLEASANTON PD,79,1,17,97
ALAMEDA COUNTY,SAN LEANDRO PD,92,0,20,112
ALAMEDA COUNTY,UC BERKELEY PD,66,0,10,76
ALAMEDA COUNTY,UNION CITY PD,72,1,9,82
ALPINE COUNTY,ALPINE CO SD,10,1,1,12
AMADOR COUNTY,AMADOR CO DA,7,0,0,7
AMADOR COUNTY,AMADOR CO SD/CORONER,43,1,9,53
AMADOR COUNTY,IONE PD,7,2,0,9
AMADOR COUNTY,JACKSON PD,9,7,0,16
AMADOR COUNTY,SUTTER CREEK PD,4,2,0,6
BUTTE COUNTY,BUTTE CCD PD,5,1,0,6
BUTTE COUNTY,BUTTE CO DA,22,0,0,22
BUTTE COUNTY,BUTTE CO SD/CORONER,89,30,15,134
BUTTE COUNTY,CHICO PD,83,4,22,109
BUTTE COUNTY,CSU CHICO PD,14,0,6,20
BUTTE COUNTY,GRIDLEY PD,15,9,6,30
BUTTE COUNTY,OROVILLE PD,23,5,9,37
BUTTE COUNTY,PARADISE PD,21,0,10,31
CALAVERAS COUNTY,ANGELS CAMP PD,7,2,0,9
CALAVERAS COUNTY,CALAVERAS CO DA,2,0,0,2
CALAVERAS COUNTY,CALAVERAS CO SD,48,4,12,64
COLUSA COUNTY,COLUSA CO DISTRICT ATTORNEY,4,0,0,4
COLUSA COUNTY,COLUSA COUNTY SD,30,1,9,40
COLUSA COUNTY,COLUSA PD,7,1,0,8
COLUSA COUNTY,WILLIAMS PD,12,0,0,12
CONTRA COSTA COUNTY,ANTIOCH PD,87,4,15,106
CONTRA COSTA COUNTY,BRENTWOOD PD,64,0,0,64
CONTRA COSTA COUNTY,CLAYTON PD,11,1,0,12
CONTRA COSTA COUNTY,CONCORD PD,148,5,16,169
CONTRA COSTA COUNTY,CONTRA COSTA CCD PD,23,0,0,23
CONTRA COSTA COUNTY,CONTRA COSTA CO DA,29,0,0,29
CONTRA COSTA COUNTY,CONTRA COSTA CO SD/CORONER,616,37,49,702
CONTRA COSTA COUNTY,EL CERRITO PD,40,7,0,47
CONTRA COSTA COUNTY,HERCULES PD,21,3,0,24
CONTRA COSTA COUNTY,KENSINGTON PD,10,3,0,13
CONTRA COSTA COUNTY,MARTINEZ PD,34,5,13,52
CONTRA COSTA COUNTY,PINOLE PD,24,0,8,32
CONTRA COSTA COUNTY,PITTSBURG PD,76,4,0,80
CONTRA COSTA COUNTY,PLEASANT HILL PD,37,4,7,48
CONTRA COSTA COUNTY,RICHMOND PD,173,2,24,199
CONTRA COSTA COUNTY,SAN PABLO PD,48,0,0,48
CONTRA COSTA COUNTY,SAN RAMON PD,63,0,0,63
CONTRA COSTA COUNTY,WALNUT CREEK PD,81,28,15,124
DEL NORTE COUNTY,CRESCENT CITY PD,10,4,0,14
DEL NORTE COUNTY,DEL NORTE CO DA,2,0,0,2
DEL NORTE COUNTY,DEL NORTE COUNTY SD,22,5,5,32
EL DORADO COUNTY,EL DORADO CO DA,15,0,0,15
EL DORADO COUNTY,EL DORADO CO SD,154,6,20,180
EL DORADO COUNTY,PLACERVILLE PD,17,2,6,25
EL DORADO COUNTY,SOUTH LAKE TAHOE PD,34,7,8,49
FRESNO COUNTY,CLOVIS PD,95,14,21,130
FRESNO COUNTY,CLOVIS UNIF SCHL DIST PD,12,0,0,12
FRESNO COUNTY,COALINGA PD,20,6,6,32
FRESNO COUNTY,CSU FRESNO DPS,20,0,7,27
FRESNO COUNTY,FIREBAUGH PD,10,7,0,17
FRESNO COUNTY,FOWLER PD,12,4,0,16
FRESNO COUNTY,FRESNO CO DA,48,0,0,48
FRESNO COUNTY,FRESNO CO SD,387,60,45,492
FRESNO COUNTY,FRESNO PD,691,35,87,813
FRESNO COUNTY,FRESNO YOSEMITE INT'L AIRPORT,3,0,0,3
FRESNO COUNTY,HURON PD,4,10,5,19
FRESNO COUNTY,KERMAN PD,19,9,0,28
FRESNO COUNTY,KINGSBURG PD,12,7,6,25
FRESNO COUNTY,MENDOTA PD,11,7,0,18
FRESNO COUNTY,ORANGE COVE PD,11,3,0,14
FRESNO COUNTY,PARLIER PD,13,7,0,20
FRESNO COUNTY,REEDLEY PD,28,6,6,40
FRESNO COUNTY,SANGER PD,29,1,0,30
FRESNO COUNTY,SELMA PD,30,2,6,38
FRESNO COUNTY,STATE CENTER CCD PD,15,0,0,15
GLENN COUNTY,GLENN CO DA,2,0,0,2
GLENN COUNTY,GLENN CO SD/CORONER,23,4,10,37
GLENN COUNTY,ORLAND PD,9,1,1,11
GLENN COUNTY,WILLOWS PD,9,0,0,9
HUMBOLDT COUNTY,ARCATA PD,26,4,7,37
HUMBOLDT COUNTY,CSU HUMBOLDT DPS,10,0,7,17
HUMBOLDT COUNTY,EUREKA PD,50,8,10,68
HUMBOLDT COUNTY,FERNDALE PD,6,2,0,8
HUMBOLDT COUNTY,FORTUNA PD,15,3,7,25
HUMBOLDT COUNTY,HUMBOLDT CO DA,8,0,0,8
HUMBOLDT COUNTY,HUMBOLDT CO SD,175,16,10,201
HUMBOLDT COUNTY,HUMBOLDT DEPT WELFARE/INVEST,9,0,0,9
HUMBOLDT COUNTY,RIO DELL PD,5,2,0,7
IMPERIAL COUNTY,BRAWLEY PD,32,1,9,42
IMPERIAL COUNTY,CALEXICO PD,30,0,8,38
IMPERIAL COUNTY,CALIPATRIA PD,4,6,0,10
IMPERIAL COUNTY,EL CENTRO PD,50,4,9,63
IMPERIAL COUNTY,IMPERIAL CO DA,13,0,0,13
IMPERIAL COUNTY,IMPERIAL CO SD,100,9,12,121
IMPERIAL COUNTY,IMPERIAL PD,18,7,0,25
IMPERIAL COUNTY,WESTMORLAND PD,5,3,0,8
INYO COUNTY,BISHOP PD,12,4,5,21
INYO COUNTY,INYO CO DA,3,0,0,3
INYO COUNTY,INYO COUNTY SD,35,17,6,58
KERN COUNTY,ARVIN PD,17,4,5,26
KERN COUNTY,BAKERSFIELD PD,373,13,39,425
KERN COUNTY,BEAR VALLEY PD,7,0,8,15
KERN COUNTY,CALIFORNIA CITY PD,16,13,6,35
KERN COUNTY,CSU BAKERSFIELD DPS,11,0,4,15
KERN COUNTY,DELANO PD,49,2,5,56
KERN COUNTY,KERN CO DA,26,0,0,26
KERN COUNTY,KERN CO-DEPT OF PARKS & REC,6,1,0,7
KERN COUNTY,KERN COUNTY SD,888,53,37,978
KERN COUNTY,KERN HIGH SCHOOL DISTRICT PD,22,1,0,23
KERN COUNTY,MCFARLAND PD,14,1,4,19
