County,Agency,Sworn,Reserve,Dispatcher,Total
ALAMEDA COUNTY,ALAMEDA CO SD/CORONER,981,25,33,1039
ALAMEDA COUNTY,ALAMEDA PD,78,0,15,93
ALAMEDA COUNTY,ALAMEDA/CONTRA COSTA TRANSIT,1,0,0,1
ALAMEDA COUNTY,ALBANY PD,23,2,8,33
ALAMEDA COUNTY,BAY AREA RAPID TRANSIT PD,188,0,17,205
ALAMEDA COUNTY,BERKELEY PD,166,18,31,215
ALAMEDA COUNTY,CSU EAST BAY PD,15,0,4,19
ALAMEDA COUNTY,EAST BAY REG PARK DPS,61,2,16,79
ALAMEDA COUNTY,EMERYVILLE PD,37,0,13,50
ALAMEDA COUNTY,FREMONT PD,183,9,26,218
ALAMEDA COUNTY,HAYWARD PD,188,23,27,238
ALAMEDA COUNTY,LIVERMORE PD,89,7,22,118
ALAMEDA COUNTY,MORAGA PD,12,5,0,17
ALAMEDA COUNTY,NEWARK PD,55,3,14,72
ALAMEDA COUNTY,OAKLAND CITY HOUSING AUTH PD,31,4,0,35
ALAMEDA COUNTY,OAKLAND PD,758,9,68,835
ALAMEDA COUNTY,OAKLAND USD PD,16,0,0,16
ALAMEDA COUNTY,OHLONE CCD PD,2,0,0,2
ALAMEDA COUNTY,PIEDMONT PD,19,6,8,33
ALAMEDA COUNTY,PLEASANTON PD,80,1,16,97
ALAMEDA COUNTY,SAN LEANDRO PD,91,0,17,108
ALAMEDA COUNTY,UC BERKELEY PD,65,0,9,74
ALAMEDA COUNTY,UNION CITY PD,76,1,6,83
ALPINE COUNTY,ALPINE CO SD,13,1,1,15
AMADOR COUNTY,AMADOR CO DA,8,0,0,8
AMADOR COUNTY,AMADOR CO SD/CORONER,42,1,11,54
AMADOR COUNTY,IONE PD,6,2,0,8
AMADOR COUNTY,JACKSON PD,7,8,0,15
AMADOR COUNTY,SUTTER CREEK PD,4,2,0,6
BUTTE COUNTY,BUTTE CCD PD,4,1,0,5
BUTTE COUNTY,BUTTE CO DA,19,0,0,19
BUTTE COUNTY,BUTTE CO SD/CORONER,107,31,14,152
BUTTE COUNTY,CHICO PD,84,2,22,108
BUTTE COUNTY,CSU CHICO PD,15,0,7,22
BUTTE COUNTY,GRIDLEY PD,14,8,7,29
