County,Agency,Sworn,Reserve,Dispatcher,Total
ALAMEDA COUNTY,ALAMEDA CO SD/CORONER,1104,50,47,1201
ALAMEDA COUNTY,ALAMEDA PD,87,0,15,102
ALAMEDA COUNTY,ALAMEDA/CONTRA COSTA TRANSIT,1,0,0,1
ALAMEDA COUNTY,ALBANY PD,25,4,8,37
ALAMEDA COUNTY,BAY AREA RAPID TRANSIT PD,188,0,17,205
ALAMEDA COUNTY,BERKELEY PD,176,20,32,228
ALAMEDA COUNTY,CSU EAST BAY PD,15,0,5,20
ALAMEDA COUNTY,EAST BAY REG PARK DPS,55,2,15,72
ALAMEDA COUNTY,EMERYVILLE PD,37,0,15,52
ALAMEDA COUNTY,FREMONT PD,180,8,26,214
ALAMEDA COUNTY,HAYWARD PD,194,27,28,249
ALAMEDA COUNTY,LIVERMORE PD,87,5,20,112
ALAMEDA COUNTY,MORAGA PD,10,4,0,14
ALAMEDA COUNTY,NEWARK PD,54,3,12,69
ALAMEDA COUNTY,OAKLAND CITY HOUSING AUTH PD,22,5,0,27
ALAMEDA COUNTY,OAKLAND PD,777,12,69,858
ALAMEDA COUNTY,OAKLAND USD PD,13,0,0,13
ALAMEDA COUNTY,OHLONE CCD PD,3,0,0,3
ALAMEDA COUNTY,PIEDMONT PD,19,4,6,29
ALAMEDA COUNTY,PLEASANTON PD,83,1,17,101
ALAMEDA COUNTY,SAN LEANDRO PD,93,0,18,111
ALAMEDA COUNTY,UC BERKELEY PD,63,0,8,71
ALAMEDA COUNTY,UNION CITY PD,74,2,15,91
ALPINE COUNTY,ALPINE CO SD,14,1,0,15
AMADOR COUNTY,AMADOR CO DA,8,0,0,8
AMADOR COUNTY,AMADOR CO SD/CORONER,49,5,12,66
AMADOR COUNTY,IONE PD,6,3,0,9
AMADOR COUNTY,JACKSON PD,9,10,1,20
AMADOR COUNTY,SUTTER CREEK PD,5,3,0,8
BUTTE COUNTY,BUTTE CCD PD,3,0,0,3
BUTTE COUNTY,BUTTE CO DA,21,0,0,21
BUTTE COUNTY,BUTTE CO SD/CORONER,95,36,14,145
BUTTE COUNTY,CHICO PD,97,2,21,120
BUTTE COUNTY,CSU CHICO PD,16,0,7,23
BUTTE COUNTY,GRIDLEY PD,13,9,8,30
BUTTE COUNTY,OROVILLE PD,24,1,9,34
BUTTE COUNTY,PARADISE PD,24,0,11,35
CALAVERAS COUNTY,ANGELS CAMP PD,8,2,3,13
CALAVERAS COUNTY,CALAVERAS CO DA,2,0,0,2
CALAVERAS COUNTY,CALAVERAS CO SD,56,12,12,80
COLUSA COUNTY,COLUSA CO DISTRICT ATTORNEY,2,0,0,2
COLUSA COUNTY,COLUSA COUNTY SD,33,1,10,44
COLUSA COUNTY,COLUSA PD,9,0,0,9
COLUSA COUNTY,WILLIAMS PD,9,0,0,9
CONTRA COSTA COUNTY,ANTIOCH PD,106,4,20,130
CONTRA COSTA COUNTY,BRENTWOOD PD,60,0,0,60
CONTRA COSTA COUNTY,CLAYTON PD,11,2,0,13
CONTRA COSTA COUNTY,CONCORD PD,149,15,17,181
CONTRA COSTA COUNTY,CONTRA COSTA CCD PD,24,0,0,24
CONTRA COSTA COUNTY,CONTRA COSTA CO DA,17,0,0,17
CONTRA COSTA COUNTY,CONTRA COSTA CO SD/CORONER,627,57,46,730
CONTRA COSTA COUNTY,EL CERRITO PD,42,5,0,47
CONTRA COSTA COUNTY,HERCULES PD,30,4,0,34
CONTRA COSTA COUNTY,KENSINGTON PD,10,5,0,15
CONTRA COSTA COUNTY,MARTINEZ PD,39,6,11,56
CONTRA COSTA COUNTY,PINOLE PD,30,3,9,42
CONTRA COSTA COUNTY,PITTSBURG PD,76,6,0,82
CONTRA COSTA COUNTY,PLEASANT HILL PD,43,5,9,57
CONTRA COSTA COUNTY,RICHMOND PD,181,1,26,208
CONTRA COSTA COUNTY,SAN PABLO PD,53,1,0,54
CONTRA COSTA COUNTY,SAN RAMON PD,58,0,0,58
CONTRA COSTA COUNTY,WALNUT CREEK PD,77,36,16,129
DEL NORTE COUNTY,CRESCENT CITY PD,14,4,1,19
DEL NORTE COUNTY,DEL NORTE CO DA,2,0,0,2
DEL NORTE COUNTY,DEL NORTE COUNTY SD,28,13,3,44
EL DORADO COUNTY,EL DORADO CO DA,14,0,0,14
EL DORADO COUNTY,EL DORADO CO SD,179,9,31,219
EL DORADO COUNTY,PLACERVILLE PD,18,2,6,26
EL DORADO COUNTY,SOUTH LAKE TAHOE PD,39,10,9,58
FRESNO COUNTY,CLOVIS PD,97,20,23,140
FRESNO COUNTY,CLOVIS UNIF SCHL DIST PD,10,0,0,10
FRESNO COUNTY,COALINGA PD,22,8,6,36
FRESNO COUNTY,CSU FRESNO DPS,19,0,5,24
FRESNO COUNTY,FIREBAUGH PD,12,4,0,16
FRESNO COUNTY,FOWLER PD,10,5,0,15
FRESNO COUNTY,FRESNO CO DA,49,0,0,49
FRESNO COUNTY,FRESNO CO SD,424,37,37,498
FRESNO COUNTY,FRESNO PD,808,54,87,949
FRESNO COUNTY,FRESNO YOSEMITE INT'L AIRPORT,4,0,0,4
FRESNO COUNTY,HURON PD,10,6,1,17
FRESNO COUNTY,KERMAN PD,16,3,0,19
FRESNO COUNTY,KINGSBURG PD,14,8,6,28
FRESNO COUNTY,MENDOTA PD,8,7,0,15
FRESNO COUNTY,ORANGE COVE PD,12,2,0,14
FRESNO COUNTY,PARLIER PD,17,1,0,18
FRESNO COUNTY,REEDLEY PD,32,0,6,38
FRESNO COUNTY,SANGER PD,34,4,3,41
FRESNO COUNTY,SELMA PD,32,4,6,42
FRESNO COUNTY,STATE CENTER CCD PD,15,0,0,15
GLENN COUNTY,GLENN CO DA,2,0,0,2
GLENN COUNTY,GLENN CO SD/CORONER,27,4,10,41
GLENN COUNTY,ORLAND PD,10,0,0,10
GLENN COUNTY,WILLOWS PD,10,1,0,11
HUMBOLDT COUNTY,ARCATA PD,27,3,6,36
HUMBOLDT COUNTY,CSU HUMBOLDT DPS,13,0,7,20
HUMBOLDT COUNTY,EUREKA PD,46,5,13,64
HUMBOLDT COUNTY,FERNDALE PD,5,0,0,5
HUMBOLDT COUNTY,FORTUNA PD,18,1,7,26
HUMBOLDT COUNTY,HUMBOLDT CO CORONER,4,0,0,4
