County,Agency,Sworn,Reserve,Dispatcher,Total
ALAMEDA COUNTY,ALAMEDA CO SD/CORONER,987,6,35,1028
ALAMEDA COUNTY,ALAMEDA PD,67,0,19,86
ALAMEDA COUNTY,ALBANY PD,24,2,7,33
ALAMEDA COUNTY,BAY AREA RAPID TRANSIT PD,210,0,18,228
ALAMEDA COUNTY,BERKELEY PD,152,14,30,196
ALAMEDA COUNTY,CSU EAST BAY PD,12,0,2,14
ALAMEDA COUNTY,EAST BAY REG PARK DPS,57,0,17,74
ALAMEDA COUNTY,EMERYVILLE PD,36,0,11,47
ALAMEDA COUNTY,FREMONT PD,185,8,31,224
ALAMEDA COUNTY,HAYWARD PD,159,22,33,214
ALAMEDA COUNTY,LIVERMORE PD,89,4,20,113
ALAMEDA COUNTY,NEWARK PD,47,1,11,59
ALAMEDA COUNTY,OAKLAND CITY HOUSING AUTH PD,27,2,0,29
ALAMEDA COUNTY,OAKLAND PD,680,5,70,755
ALAMEDA COUNTY,OHLONE CCD PD,2,0,0,2
ALAMEDA COUNTY,PIEDMONT PD,20,3,7,30
ALAMEDA COUNTY,PLEASANTON PD,79,1,16,96
ALAMEDA COUNTY,SAN LEANDRO PD,76,0,12,88
ALAMEDA COUNTY,UC BERKELEY PD,43,0,8,51
ALAMEDA COUNTY,UNION CITY PD,71,0,1,72
ALPINE COUNTY,ALPINE CO SO,12,2,1,15
AMADOR COUNTY,AMADOR CO DA,8,0,0,8
AMADOR COUNTY,AMADOR CO SO/CORONER,46,9,12,67
AMADOR COUNTY,IONE PD,8,1,0,9
AMADOR COUNTY,JACKSON PD,9,7,0,16
AMADOR COUNTY,SUTTER CREEK PD,4,2,0,6
BUTTE COUNTY,BUTTE CCD PD,3,0,0,3
BUTTE COUNTY,BUTTE CO DA,15,0,0,15
BUTTE COUNTY,BUTTE CO SO/CORONER,176,22,16,214
BUTTE COUNTY,CHICO PD,95,1,21,117
BUTTE COUNTY,CSU CHICO PD,14,0,5,19
