County,Agency,Full-Time Sworn,Reserve,Dispatcher,Total
ALAMEDA COUNTY,ALAMEDA CO SD/CORONER,974,24,34,1032
ALAMEDA COUNTY,ALAMEDA PD,80,0,16,96
ALAMEDA COUNTY,ALAMEDA/CONTRA COSTA TRANSIT,1,0,0,1
ALAMEDA COUNTY,ALBANY PD,24,3,6,33
ALAMEDA COUNTY,AMTRAK PD,28,0,0,28
ALAMEDA COUNTY,BAY AREA RAPID TRANSIT PD,182,0,18,200
ALAMEDA COUNTY,BERKELEY PD,164,15,31,210
ALAMEDA COUNTY,CSU EAST BAY PD,14,0,7,21
ALAMEDA COUNTY,EAST BAY REG PARK DPS,58,3,14,75
ALAMEDA COUNTY,EMERYVILLE PD,38,0,15,53
ALAMEDA COUNTY,FREMONT PD,184,10,33,227
ALAMEDA COUNTY,HAYWARD PD,190,23,27,240
ALAMEDA COUNTY,LIVERMORE PD,86,7,20,113
ALAMEDA COUNTY,NEWARK PD,52,4,13,69
ALAMEDA COUNTY,OAKLAND CITY HOUSING AUTH PD,29,2,0,31
ALAMEDA COUNTY,OAKLAND PD,780,9,64,853
ALAMEDA COUNTY,OAKLAND USD PD,14,0,0,14
ALAMEDA COUNTY,OHLONE CCD PD,2,0,0,2
ALAMEDA COUNTY,PIEDMONT PD,18,4,7,29
ALAMEDA COUNTY,PLEASANTON PD,78,1,16,95
ALAMEDA COUNTY,SAN LEANDRO PD,91,0,18,109
ALAMEDA COUNTY,UC BERKELEY PD,57,0,9,66
ALAMEDA COUNTY,UNION CITY PD,79,0,0,79
ALPINE COUNTY,ALPINE CO SD,13,0,1,14
AMADOR COUNTY,AMADOR CO DA,8,0,0,8
AMADOR COUNTY,AMADOR CO SD/CORONER,45,1,11,57
AMADOR COUNTY,IONE PD,7,2,0,9
AMADOR COUNTY,JACKSON PD,7,9,0,16
AMADOR COUNTY,SUTTER CREEK PD,4,2,0,6
BUTTE COUNTY,BUTTE CCD PD,4,0,0,4
