County,Agency,Sworn,Reserve,Dispatcher,Total
ALAMEDA COUNTY,ALAMEDA CO SD/CORONER,1001,24,34,1059
ALAMEDA COUNTY,ALAMEDA PD,76,0,17,93
ALAMEDA COUNTY,ALBANY PD,23,2,5,30
ALAMEDA COUNTY,AMTRAK PD,31,0,0,31
ALAMEDA COUNTY,BAY AREA RAPID TRANSIT PD,185,0,18,203
ALAMEDA COUNTY,BERKELEY PD,157,15,32,204
ALAMEDA COUNTY,CSU EAST BAY PD,15,0,7,22
ALAMEDA COUNTY,EAST BAY REG PARK DPS,58,2,17,77
ALAMEDA COUNTY,EMERYVILLE PD,40,0,11,51
ALAMEDA COUNTY,FREMONT PD,179,10,30,219
ALAMEDA COUNTY,HAYWARD PD,185,21,34,240
ALAMEDA COUNTY,LIVERMORE PD,86,7,21,114
ALAMEDA COUNTY,NEWARK PD,54,3,13,70
ALAMEDA COUNTY,OAKLAND CITY HOUSING AUTH PD,28,2,0,30
ALAMEDA COUNTY,OAKLAND PD,748,7,62,817
ALAMEDA COUNTY,OAKLAND USD PD,11,0,0,11
ALAMEDA COUNTY,OHLONE CCD PD,2,0,0,2
ALAMEDA COUNTY,PIEDMONT PD,17,4,8,29
ALAMEDA COUNTY,PLEASANTON PD,78,1,18,97
ALAMEDA COUNTY,SAN LEANDRO PD,89,0,14,103
ALAMEDA COUNTY,UC BERKELEY PD,56,0,10,66
ALAMEDA COUNTY,UNION CITY PD,76,0,1,77
ALPINE COUNTY,ALPINE CO SD,12,1,1,14
AMADOR COUNTY,AMADOR CO DA,8,0,0,8
AMADOR COUNTY,AMADOR CO SD/CORONER,45,1,9,55
AMADOR COUNTY,IONE PD,6,3,0,9
AMADOR COUNTY,JACKSON PD,7,9,0,16
AMADOR COUNTY,SUTTER CREEK PD,4,2,0,6
BUTTE COUNTY,BUTTE CCD PD,4,0,0,4
BUTTE COUNTY,BUTTE CO DA,18,0,0,18
BUTTE COUNTY,BUTTE CO SD/CORONER,179,32,17,228
BUTTE COUNTY,CHICO PD,95,0,21,116
BUTTE COUNTY,CSU CHICO PD,14,0,6,20
BUTTE COUNTY,GRIDLEY PD,13,10,8,31
BUTTE COUNTY,OROVILLE PD,17,5,6,28
BUTTE COUNTY,PARADISE PD,22,0,8,30
CALAVERAS COUNTY,ANGELS CAMP PD,6,1,0,7
CALAVERAS COUNTY,CALAVERAS CO DA,1,0,0,1
CALAVERAS COUNTY,CALAVERAS CO SD,52,4,11,67
COLUSA COUNTY,COLUSA CO DISTRICT ATTORNEY,4,0,0,4
COLUSA COUNTY,COLUSA COUNTY SD,29,2,7,38
COLUSA COUNTY,COLUSA PD,8,1,0,9
COLUSA COUNTY,WILLIAMS PD,11,0,0,11
CONTRA COSTA COUNTY,ANTIOCH PD,97,3,16,116
CONTRA COSTA COUNTY,BRENTWOOD PD,63,0,0,63
CONTRA COSTA COUNTY,CHINO PD,107,1,17,125
CONTRA COSTA COUNTY,CLAYTON PD,11,1,0,12
CONTRA COSTA COUNTY,CONCORD PD,147,10,17,174
CONTRA COSTA COUNTY,CONTRA COSTA CCD PD,22,0,0,22
CONTRA COSTA COUNTY,CONTRA COSTA CO DA,31,0,0,31
CONTRA COSTA COUNTY,CONTRA COSTA CO SD/CORONER,636,30,52,718
CONTRA COSTA COUNTY,EL CERRITO PD,40,1,0,41
CONTRA COSTA COUNTY,HERCULES PD,20,5,0,25
CONTRA COSTA COUNTY,KENSINGTON PD,8,1,0,9
CONTRA COSTA COUNTY,MARTINEZ PD,32,3,9,44
CONTRA COSTA COUNTY,MORAGA PD,12,5,0,17
CONTRA COSTA COUNTY,OAKLEY PD,31,0,0,31
CONTRA COSTA COUNTY,PINOLE PD,25,0,13,38
CONTRA COSTA COUNTY,PITTSBURG PD,83,2,0,85
CONTRA COSTA COUNTY,PLEASANT HILL PD,40,3,8,51
CONTRA COSTA COUNTY,RICHMOND PD,165,2,20,187
CONTRA COSTA COUNTY,SAN PABLO PD,44,0,0,44
CONTRA COSTA COUNTY,SAN RAMON PD,63,0,0,63
CONTRA COSTA COUNTY,WALNUT CREEK PD,85,29,19,133
DEL NORTE COUNTY,CRESCENT CITY PD,11,4,0,15
DEL NORTE COUNTY,DEL NORTE CO DA,2,0,0,2
DEL NORTE COUNTY,DEL NORTE COUNTY SD,24,7,4,35
EL DORADO COUNTY,EL DORADO CO DA,14,0,0,14
EL DORADO COUNTY,EL DORADO CO SD,157,5,22,184
EL DORADO COUNTY,PLACERVILLE PD,18,2,4,24
EL DORADO COUNTY,SOUTH LAKE TAHOE PD,35,5,9,49
FRESNO COUNTY,CLOVIS PD,99,12,22,133
FRESNO COUNTY,CLOVIS UNIF SCHL DIST PD,16,0,0,16
FRESNO COUNTY,COALINGA PD,17,2,6,25
FRESNO COUNTY,CSU FRESNO DPS,26,0,7,33
FRESNO COUNTY,FIREBAUGH PD,11,6,0,17
FRESNO COUNTY,FOWLER PD,12,2,0,14
FRESNO COUNTY,FRESNO CO DA,50,0,0,50
FRESNO COUNTY,FRESNO CO SD,415,63,39,517
FRESNO COUNTY,FRESNO PD,800,38,85,923
FRESNO COUNTY,FRESNO YOSEMITE INT'L AIRPORT,3,0,0,3
FRESNO COUNTY,HURON PD,8,5,4,17
FRESNO COUNTY,KERMAN PD,21,6,0,27
FRESNO COUNTY,KINGSBURG PD,15,12,0,27
FRESNO COUNTY,MENDOTA PD,11,6,0,17
FRESNO COUNTY,ORANGE COVE PD,11,4,0,15
FRESNO COUNTY,PARLIER PD,11,4,0,15
FRESNO COUNTY,REEDLEY PD,30,2,6,38
FRESNO COUNTY,SANGER PD,37,2,0,39
FRESNO COUNTY,SELMA PD,32,0,5,37
FRESNO COUNTY,STATE CENTER CCD PD,17,0,5,22
