County,Agency,Sworn,Reserve,Dispatcher,Total
ALAMEDA COUNTY,ALAMEDA CO SD/CORONER,943,19,34,996
ALAMEDA COUNTY,ALAMEDA PD,78,0,17,95
ALAMEDA COUNTY,ALBANY PD,23,2,7,32
ALAMEDA COUNTY,AMTRAK PD,31,0,0,31
ALAMEDA COUNTY,BAY AREA RAPID TRANSIT PD,180,0,16,196
ALAMEDA COUNTY,BERKELEY PD,155,17,31,203
ALAMEDA COUNTY,CSU EAST BAY PD,13,0,3,16
ALAMEDA COUNTY,EAST BAY REG PARK DPS,60,3,14,77
ALAMEDA COUNTY,EMERYVILLE PD,37,0,12,49
ALAMEDA COUNTY,FREMONT PD,182,5,30,217
ALAMEDA COUNTY,HAYWARD PD,178,24,30,232
ALAMEDA COUNTY,LIVERMORE PD,89,5,21,115
ALAMEDA COUNTY,NEWARK PD,52,2,13,67
ALAMEDA COUNTY,OAKLAND CITY HOUSING AUTH PD,27,1,0,28
ALAMEDA COUNTY,OAKLAND PD,771,5,70,846
ALAMEDA COUNTY,OAKLAND USD PD,11,0,0,11
ALAMEDA COUNTY,OHLONE CCD PD,2,1,0,3
ALAMEDA COUNTY,PIEDMONT PD,20,6,7,33
ALAMEDA COUNTY,PLEASANTON PD,80,1,17,98
ALAMEDA COUNTY,SAN LEANDRO PD,90,0,16,106
ALAMEDA COUNTY,UC BERKELEY PD,50,0,9,59
ALAMEDA COUNTY,UNION CITY PD,76,0,1,77
ALPINE COUNTY,ALPINE CO SD,13,1,1,15
AMADOR COUNTY,AMADOR CO DA,7,0,0,7
AMADOR COUNTY,AMADOR CO SD/CORONER,43,2,13,58
AMADOR COUNTY,IONE PD,8,1,0,9
AMADOR COUNTY,JACKSON PD,8,6,0,14
AMADOR COUNTY,SUTTER CREEK PD,5,3,0,8
BUTTE COUNTY,BUTTE CCD PD,5,0,0,5
BUTTE COUNTY,BUTTE CO DA,19,0,0,19
BUTTE COUNTY,BUTTE CO SD/CORONER,169,30,15,214
BUTTE COUNTY,CHICO PD,101,0,23,124
BUTTE COUNTY,CSU CHICO PD,18,0,5,23
BUTTE COUNTY,GRIDLEY PD,11,5,8,24
BUTTE COUNTY,OROVILLE PD,21,5,8,34
BUTTE COUNTY,PARADISE PD,17,0,8,25
CALAVERAS COUNTY,ANGELS CAMP PD,6,0,0,6
CALAVERAS COUNTY,CALAVERAS CO DA,1,0,0,1
CALAVERAS COUNTY,CALAVERAS CO SD,54,4,11,69
COLUSA COUNTY,COLUSA CO DISTRICT ATTORNEY,4,0,0,4
COLUSA COUNTY,COLUSA COUNTY SD,30,1,7,38
COLUSA COUNTY,COLUSA PD,8,1,0,9
COLUSA COUNTY,WILLIAMS PD,11,0,0,11
CONTRA COSTA COUNTY,ANTIOCH PD,104,3,16,123
CONTRA COSTA COUNTY,BRENTWOOD PD,64,0,0,64
CONTRA COSTA COUNTY,CLAYTON PD,11,0,0,11
CONTRA COSTA COUNTY,CONCORD PD,149,8,17,174
CONTRA COSTA COUNTY,CONTRA COSTA CCD PD,22,0,0,22
CONTRA COSTA COUNTY,CONTRA COSTA CO DA,28,0,0,28
CONTRA COSTA COUNTY,CONTRA COSTA CO SD/CORONER,625,29,49,703
CONTRA COSTA COUNTY,EL CERRITO PD,39,2,0,41
CONTRA COSTA COUNTY,HERCULES PD,24,2,0,26
CONTRA COSTA COUNTY,KENSINGTON PD,7,0,0,7
CONTRA COSTA COUNTY,MARTINEZ PD,31,5,7,43
CONTRA COSTA COUNTY,MORAGA PD,12,4,0,16
CONTRA COSTA COUNTY,OAKLEY PD,33,0,0,33
CONTRA COSTA COUNTY,PINOLE PD,26,0,12,38
CONTRA COSTA COUNTY,PITTSBURG PD,82,0,0,82
CONTRA COSTA COUNTY,PLEASANT HILL PD,42,1,7,50
CONTRA COSTA COUNTY,RICHMOND PD,159,3,17,179
CONTRA COSTA COUNTY,SAN PABLO PD,59,0,0,59
CONTRA COSTA COUNTY,SAN RAMON PD,66,0,0,66
CONTRA COSTA COUNTY,WALNUT CREEK PD,81,28,15,124
DEL NORTE COUNTY,CRESCENT CITY PD,12,2,0,14
DEL NORTE COUNTY,DEL NORTE CO DA,2,0,0,2
DEL NORTE COUNTY,DEL NORTE COUNTY SD,19,5,5,29
EL DORADO COUNTY,EL DORADO CO DA,17,0,0,17
EL DORADO COUNTY,EL DORADO CO SD,154,4,18,176
EL DORADO COUNTY,PLACERVILLE PD,19,1,3,23
EL DORADO COUNTY,SOUTH LAKE TAHOE PD,36,5,9,50
FRESNO COUNTY,CLOVIS PD,102,11,25,138
FRESNO COUNTY,CLOVIS UNIF SCHL DIST PD,16,0,0,16
FRESNO COUNTY,COALINGA PD,14,1,6,21
FRESNO COUNTY,CSU FRESNO DPS,27,0,7,34
FRESNO COUNTY,FIREBAUGH PD,10,7,0,17
FRESNO COUNTY,FOWLER PD,11,4,0,15
FRESNO COUNTY,FRESNO CO DA,53,0,0,53
FRESNO COUNTY,FRESNO CO SD,416,75,46,537
FRESNO COUNTY,FRESNO PD,820,23,101,944
FRESNO COUNTY,FRESNO YOSEMITE INT'L AIRPORT,6,0,0,6
FRESNO COUNTY,HURON PD,11,4,6,21
FRESNO COUNTY,KERMAN PD,21,8,0,29
FRESNO COUNTY,KINGSBURG PD,17,8,0,25
FRESNO COUNTY,MENDOTA PD,14,7,0,21
FRESNO COUNTY,ORANGE COVE PD,11,3,0,14
FRESNO COUNTY,PARLIER PD,19,0,0,19
FRESNO COUNTY,REEDLEY PD,27,3,7,37
