County,Agency,Sworn,Reserve,Dispatcher,Total
ALAMEDA COUNTY,ALAMEDA CO SD/CORONER,913,19,28,960
ALAMEDA COUNTY,ALAMEDA PD,83,0,15,98
ALAMEDA COUNTY,ALAMEDA/CONTRA COSTA TRANSIT,1,0,0,1
ALAMEDA COUNTY,ALBANY PD,25,3,5,33
ALAMEDA COUNTY,BAY AREA RAPID TRANSIT PD,184,0,18,202
ALAMEDA COUNTY,BERKELEY PD,168,20,33,221
ALAMEDA COUNTY,CSU EAST BAY PD,13,0,5,18
ALAMEDA COUNTY,EAST BAY REG PARK DPS,56,2,16,74
ALAMEDA COUNTY,EMERYVILLE PD,35,0,15,50
ALAMEDA COUNTY,FREMONT PD,187,12,33,232
ALAMEDA COUNTY,HAYWARD PD,177,29,29,235
ALAMEDA COUNTY,LIVERMORE PD,84,7,20,111
ALAMEDA COUNTY,MORAGA PD,12,4,0,16
ALAMEDA COUNTY,NEWARK PD,55,4,12,71
ALAMEDA COUNTY,OAKLAND CITY HOUSING AUTH PD,29,8,0,37
ALAMEDA COUNTY,OAKLAND PD,645,9,67,721
ALAMEDA COUNTY,OAKLAND USD PD,12,0,0,12
ALAMEDA COUNTY,OHLONE CCD PD,2,0,0,2
ALAMEDA COUNTY,PIEDMONT PD,20,3,8,31
ALAMEDA COUNTY,PLEASANTON PD,80,1,18,99
ALAMEDA COUNTY,SAN LEANDRO PD,89,0,17,106
ALAMEDA COUNTY,UC BERKELEY PD,66,0,9,75
ALAMEDA COUNTY,UNION CITY PD,72,1,10,83
ALPINE COUNTY,ALPINE CO SD,14,0,1,15
AMADOR COUNTY,AMADOR CO DA,7,0,0,7
AMADOR COUNTY,AMADOR CO SD/CORONER,46,3,10,59
AMADOR COUNTY,IONE PD,4,5,0,9
AMADOR COUNTY,JACKSON PD,8,9,0,17
AMADOR COUNTY,SUTTER CREEK PD,5,3,0,8
BUTTE COUNTY,BUTTE CCD PD,5,1,0,6
BUTTE COUNTY,BUTTE CO DA,19,0,0,19
BUTTE COUNTY,BUTTE CO SD/CORONER,98,33,16,147
BUTTE COUNTY,CHICO PD,82,2,22,106
BUTTE COUNTY,CSU CHICO PD,16,0,6,22
BUTTE COUNTY,GRIDLEY PD,16,6,6,28
BUTTE COUNTY,OROVILLE PD,21,5,11,37
BUTTE COUNTY,PARADISE PD,20,0,7,27
CALAVERAS COUNTY,ANGELS CAMP PD,8,1,0,9
CALAVERAS COUNTY,CALAVERAS CO DA,2,0,0,2
CALAVERAS COUNTY,CALAVERAS CO SD,53,4,12,69
COLUSA COUNTY,COLUSA CO DISTRICT ATTORNEY,2,0,0,2
COLUSA COUNTY,COLUSA COUNTY SD,35,1,8,44
COLUSA COUNTY,COLUSA PD,9,0,0,9
COLUSA COUNTY,WILLIAMS PD,11,0,0,11
CONTRA COSTA COUNTY,ANTIOCH PD,85,4,17,106
CONTRA COSTA COUNTY,BRENTWOOD PD,54,0,0,54
CONTRA COSTA COUNTY,CLAYTON PD,11,1,0,12
CONTRA COSTA COUNTY,CONCORD PD,149,7,16,172
CONTRA COSTA COUNTY,CONTRA COSTA CCD PD,23,0,0,23
CONTRA COSTA COUNTY,CONTRA COSTA CO DA,23,0,0,23
CONTRA COSTA COUNTY,CONTRA COSTA CO SD/CORONER,623,45,49,717
CONTRA COSTA COUNTY,EL CERRITO PD,40,8,0,48
CONTRA COSTA COUNTY,HERCULES PD,20,3,0,23
CONTRA COSTA COUNTY,KENSINGTON PD,10,2,0,12
CONTRA COSTA COUNTY,MARTINEZ PD,35,5,11,51
CONTRA COSTA COUNTY,PINOLE PD,25,0,8,33
CONTRA COSTA COUNTY,PITTSBURG PD,75,8,0,83
CONTRA COSTA COUNTY,PLEASANT HILL PD,39,5,8,52
CONTRA COSTA COUNTY,RICHMOND PD,188,2,27,217
CONTRA COSTA COUNTY,SAN PABLO PD,50,0,0,50
CONTRA COSTA COUNTY,SAN RAMON PD,57,0,0,57
CONTRA COSTA COUNTY,WALNUT CREEK PD,77,25,18,120
DEL NORTE COUNTY,CRESCENT CITY PD,11,4,0,15
DEL NORTE COUNTY,DEL NORTE CO DA,2,0,0,2
