County,Agency,Full-Time Sworn,Reserve,Dispatcher,Total
VENTURA COUNTY,OXNARD PD,217,3,24,244
VENTURA COUNTY,PORT HUENEME PD,23,5,6,34
VENTURA COUNTY,SANTA PAULA PD,27,1,7,35
VENTURA COUNTY,SIMI VALLEY PD,116,0,20,136
VENTURA COUNTY,VENTURA CO CCD PD,11,0,0,11
VENTURA COUNTY,VENTURA CO DA,58,0,0,58
VENTURA COUNTY,VENTURA CO SO,766,9,33,808
VENTURA COUNTY,VENTURA PD,130,0,21,151
YOLO COUNTY,DAVIS PD,56,2,17,75
YOLO COUNTY,UC DAVIS PD,47,0,10,57
YOLO COUNTY,WEST SACRAMENTO PD,67,1,0,68
YOLO COUNTY,WINTERS PD,8,2,0,10
YOLO COUNTY,WOODLAND PD,66,0,0,66
YOLO COUNTY,YOLO CO COMM EMER,0,0,33,33
YOLO COUNTY,YOLO CO DA,12,0,0,12
YOLO COUNTY,"YOLO CO HEALTH HUMAN SVCS, SPEC",2,0,0,2
YOLO COUNTY,INV YOLO CO SHERIFF'S OFFICE,87,5,0,92
YUBA COUNTY,MARYSVILLE PD,15,8,8,31
YUBA COUNTY,WHEATLAND PD,7,3,0,10
YUBA COUNTY,YUBA CO DA,3,0,0,3
YUBA COUNTY,YUBA CO SD,128,23,11,162
